Final TrueSkill Ratings:
Team ID: 53570, Mu: 15.33, Sigma: 2.39, Region: Hidalgo
Team ID: 47788, Mu: 31.11, Sigma: 1.36, Region: Hidalgo
Team ID: 52275, Mu: 34.47, Sigma: 1.37, Region: Mexico
Team ID: 49428, Mu: 20.55, Sigma: 1.56, Region: Hidalgo
Team ID: 27475, Mu: 34.05, Sigma: 1.47, Region: Hidalgo
Team ID: 43723, Mu: 17.69, Sigma: 1.76, Region: Hidalgo
Team ID: 47790, Mu: 37.19, Sigma: 1.65, Region: Hidalgo
Team ID: 49427, Mu: 23.06, Sigma: 1.5300000000000002, Region: Hidalgo
Team ID: 47792, Mu: 28.45, Sigma: 1.58, Region: Hidalgo
Team ID: 47798, Mu: 24.74, Sigma: 1.56, Region: Hidalgo
Team ID: 55126, Mu: 32.25, Sigma: 1.77, Region: Hidalgo
Team ID: 49509, Mu: 26.42, Sigma: 1.96, Region: Hidalgo
Team ID: 49510, Mu: 23.53, Sigma: 1.49, Region: Hidalgo
Team ID: 30880, Mu: 15.54, Sigma: 1.93, Region: Hidalgo
Team ID: 47791, Mu: 28.33, Sigma: 1.49, Region: Hidalgo
Team ID: 47789, Mu: 33.68, Sigma: 1.5, Region: Hidalgo
Team ID: 47799, Mu: 23.11, Sigma: 1.66, Region: Hidalgo
Team ID: 47796, Mu: 19.89, Sigma: 1.85, Region: Hidalgo
Team ID: 47795, Mu: 22.55, Sigma: 1.95, Region: Hidalgo
Team ID: 47800, Mu: 19.07, Sigma: 1.89, Region: Hidalgo
Team ID: 47797, Mu: 23.32, Sigma: 1.6, Region: Hidalgo
Team ID: 56364, Mu: 31.099999999999998, Sigma: 3.66, Region: California
Team ID: 58700, Mu: 16.51, Sigma: 3.91, Region: California
Team ID: 5856, Mu: 27.92, Sigma: 4.47, Region: California
Team ID: 53537, Mu: 31.760000000000005, Sigma: 3.49, Region: California
Team ID: 19762, Mu: 20.54, Sigma: 3.4, Region: California
Team ID: 51661, Mu: 24.55, Sigma: 2.06, Region: Tabasco
Team ID: 51327, Mu: 24.38, Sigma: 1.94, Region: Tabasco
Team ID: 20920, Mu: 29.65, Sigma: 1.47, Region: Tabasco
Team ID: 17449, Mu: 15.15, Sigma: 2.88, Region: Chiapas
Team ID: 17446, Mu: 22.96, Sigma: 1.7500000000000002, Region: Chiapas
Team ID: 47913, Mu: 31.74, Sigma: 1.49, Region: Tabasco
Team ID: 58001, Mu: 20.05, Sigma: 4.68, Region: Mexico
Team ID: 9532, Mu: 31.39, Sigma: 2.1, Region: Morelos
Team ID: 52229, Mu: 18.85, Sigma: 1.99, Region: Tamaulipas
Team ID: 20818, Mu: 29.84, Sigma: 2.2, Region: Mexico State
Team ID: 17461, Mu: 28.95, Sigma: 2.35, Region: Mexico State
Team ID: 46240, Mu: 26.85, Sigma: 1.69, Region: Veracruz
Team ID: 17500, Mu: 31.47, Sigma: 1.94, Region: Morelos
Team ID: 30874, Mu: 29.53, Sigma: 2.45, Region: Mexico State
Team ID: 9529, Mu: 36.47, Sigma: 2.27, Region: Morelos
Team ID: 46237, Mu: 29.48, Sigma: 1.7, Region: Veracruz
Team ID: 57734, Mu: 26.22, Sigma: 1.59, Region: Veracruz
Team ID: 58000, Mu: 24.91, Sigma: 2.59, Region: Mexico
Team ID: 17464, Mu: 23.93, Sigma: 2.44, Region: Mexico State
